Repeated,Needed,att_needed,Fields,XMLPath
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@valueURI= 'http://id.loc.gov/authorities/names/no2015036095']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/originInfo"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/originInfo/dateCaptured"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/originInfo/dateIssued [@keyDate = 'yes']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part/detail [@type = 'issue']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part/detail [@type = 'issue']/caption"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part/detail [@type = 'issue']/number"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part/detail [@type = 'volume']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part/detail [@type = 'volume']/caption"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/part/detail [@type = 'volume']/number"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/physicalDescription"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/physicalDescription/digitalOrigin"
51,yes,,field_form,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/physicalDescription/form [@authority = 'aat']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/physicalDescription/internetMediaType"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/languageOfCataloging"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/languageOfCataloging/languageTerm [@authority = 'iso639-2b', @type = 'code']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/languageOfCataloging/languageTerm [@authority= 'iso639-2b']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/languageOfCataloging/languageTerm [@type= 'code']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/recordContentSource"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/recordCreationDate"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/recordInfo/recordOrigin"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/location"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/location/url [@displayLabel = 'Relation']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel = 'Digital Collection']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel = 'Digital Collection']/title"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel = 'Periodical Title', @type = 'alternative']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel = 'Periodical Title', @type = 'alternative']/title"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel= 'Periodical Title']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/relatedItem [@type = 'host']/titleInfo [@type= 'alternative']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/subject [@authority = 'lcsh']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/subject [@authority = 'lcsh']/topic"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/titleInfo"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/titleInfo [@type = 'alternative']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/titleInfo [@type = 'alternative']/title"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/titleInfo/nonSort"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/titleInfo/title"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/typeOfResource"
1932,,,,mods [@version= '3.5']
1881,,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']"
1881,no,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/accessCondition [@displayLabel= 'Contact Information']"
1881,no,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/accessCondition [@displayLabel= 'Rights']"
1881,yes,,field_contact_info,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/accessCondition [@type = 'use and reproduction', @displayLabel = 'Contact Information']"
1881,yes,,field_rights_information,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/accessCondition [@type = 'use and reproduction', @displayLabel = 'Rights']"
3762,no,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/accessCondition [@type= 'use and reproduction']"
1881,yes,,field_genre,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/genre [@authority = 'aat']"
1881,no,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/identifier [@displayLabel= 'Item Number']"
1881,no,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/identifier [@displayLabel= 'Volume ID']"
1881,yes,,field_identifier,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/identifier [@type = 'local', @displayLabel = 'Item Number']"
1881,yes,,field_identifier,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/identifier [@type = 'local', @displayLabel = 'Volume ID']"
3762,no,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/identifier [@type= 'local']"
1881,,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd', @version = '3.5']/language"
